Country,Website_URL,Link_Type,Active,Notes
Albania,,pending,No,Please add globtalent.org link when available
Algeria,,pending,No,Please add globtalent.org link when available
American Samoa,,pending,No,Please add globtalent.org link when available
Argentina,,pending,No,Please add globtalent.org link when available
Armenia,,pending,No,Please add globtalent.org link when available
Australia,https://www.globtalent.org/countries/australia,globtalent,Yes,Globtalent.org country collection page
Austria,,pending,No,Please add globtalent.org link when available
Azerbaijan,,pending,No,Please add globtalent.org link when available
Bangladesh,,pending,No,Please add globtalent.org link when available
Belarus,,pending,No,Please add globtalent.org link when available
Belgium,,pending,No,Please add globtalent.org link when available
Bhutan,https://www.globtalent.org/countries/bhutan,globtalent,Yes,Globtalent.org country collection page
Bolivia,https://www.globtalent.org/countries/latin-america,globtalent,Yes,Globtalent.org country collection page
Bosnia and Herzegovina,https://www.globtalent.org/countries/bosnia-and-herzegovina,globtalent,Yes,Globtalent.org country collection page
Botswana,,pending,No,Please add globtalent.org link when available
Brazil,https://www.globtalent.org/countries/brazil,globtalent,Yes,Globtalent.org country collection page
Bulgaria,https://www.globtalent.org/countries/bulgaria,globtalent,Yes,Globtalent.org country collection page
Cameroon,,pending,No,Please add globtalent.org link when available
Canada,,pending,No,Please add globtalent.org link when available
Chile,,pending,No,Please add globtalent.org link when available
China,,pending,No,Please add globtalent.org link when available
Colombia,,pending,No,Please add globtalent.org link when available
Costa Rica,https://www.globtalent.org/countries/costa-rica,globtalent,Yes,Globtalent.org country collection page
Croatia,,pending,No,Please add globtalent.org link when available
Cuba,,pending,No,Please add globtalent.org link when available
Cyprus,,pending,No,Please add globtalent.org link when available
Czech Republic,,pending,No,Please add globtalent.org link when available
Democratic Republic of the Congo,,pending,No,Please add globtalent.org link when available
Denmark,,pending,No,Please add globtalent.org link when available
Dominican Republic,,pending,No,Please add globtalent.org link when available
Egypt,,pending,No,Please add globtalent.org link when available
El Salvador,https://www.globtalent.org/countries/el-salvador,globtalent,Yes,Globtalent.org country collection page
Estonia,,pending,No,Please add globtalent.org link when available
Eswatini,,pending,No,Please add globtalent.org link when available
Ethiopia,,pending,No,Please add globtalent.org link when available
Finland,,pending,No,Please add globtalent.org link when available
